"Topic","Question","Answer","Knowledge Slug","Full Answer URL"
"Location & Contact","Where is Exhibit On Superior located?","Exhibit On Superior is located at 165 W Superior St, Chicago, IL 60654 in the River North area.","building-address","https://www.rentatexhibit.com/knowledge/building-address"
"Location & Contact","What is the phone number for Exhibit On Superior?","The phone number is 312-450-0635.","",""
"Location & Contact","What is the email for Exhibit On Superior?","The contact email is exhibit@highlandptrs.com.","",""
"Location & Contact","Who manages Exhibit On Superior?","The community is professionally managed on site; contact the leasing office at exhibit@highlandptrs.com or 312-450-0635.","who-manages-exhibit","https://www.rentatexhibit.com/knowledge/who-manages-exhibit"
"Apartments & Floor Plans","What apartment sizes are available?","The community offers studio, convertible, one, two, and three-bedroom apartment homes from about 448 to 1,528 square feet across floors 2–34.","what-apartment-sizes","https://www.rentatexhibit.com/knowledge/what-apartment-sizes"
"Apartments & Floor Plans","Do apartments have in-unit laundry?","Yes. In-home washer/dryers are a standard apartment feature.","in-unit-laundry","https://www.rentatexhibit.com/knowledge/in-unit-laundry"
"Apartments & Floor Plans","What finishes do apartments have?","Homes feature driftwood plank floors, quartz countertops, tiled backsplashes, stainless-steel appliances, floor-to-ceiling windows, and private balconies in nearly every home.","apartment-finishes","https://www.rentatexhibit.com/knowledge/apartment-finishes"
"Apartments & Floor Plans","What is the largest apartment?","A three-bedroom, three-bath residence of 1,528 square feet on the penthouse-level floors 30–34.","largest-apartment","https://www.rentatexhibit.com/knowledge/largest-apartment"
"Apartments & Floor Plans","Are furnished apartments available?","No. Apartments are offered unfurnished only.","are-apartments-furnished","https://www.rentatexhibit.com/knowledge/are-apartments-furnished"
"Pricing & Fees","How do I check current pricing and availability?","The Available Units page lists every available residence with live rent, photos, and move-in dates synced from the leasing system.","how-much-is-rent","https://www.rentatexhibit.com/knowledge/how-much-is-rent"
"Pricing & Fees","What fees are required in addition to rent?","Each unit’s listing shows its application fee. There is also a $500 non-refundable administration fee per apartment and a monthly Utility & Service Amenity fee of $95–$195 by floor plan. There is no security deposit.","what-fees-in-addition-to-rent","https://www.rentatexhibit.com/knowledge/what-fees-in-addition-to-rent"
"Pricing & Fees","Are utilities included?","The monthly Utility & Service Amenity fee covers water, sewer, trash, heat, A/C, and natural gas for cooking and the dryer; electricity is billed directly by ComEd.","what-utility-fee-covers","https://www.rentatexhibit.com/knowledge/what-utility-fee-covers"
"Pricing & Fees","Does Exhibit offer move-in specials?","Exhibit is not offering move-in concessions at this time — ask the leasing team about future offers.","move-in-specials","https://www.rentatexhibit.com/knowledge/move-in-specials"
"Pricing & Fees","How much is parking?","Garage parking in the attached indoor garage is $335 per month per unreserved space, subject to availability.","how-much-does-parking-cost","https://www.rentatexhibit.com/knowledge/how-much-does-parking-cost"
